Sf Contact ID,Sf Opportunity ID,Sf Course C ID
0033600000q4ADOAA2,00636000005dxASAAY,
0033600000BMcisAAD,00636000005eG7BAAU,
00336000009m01JAAQ,00636000005eGPxAAM,
0033600000BOI13AAH,00636000005eNIpAAM,
0033600000BNSXNAA5,00636000005eOcBAAU,
0033600000BYnWzAAL,00636000005eZYRAA2,
0033600000BYnXdAAL,00636000005eZZcAAM,
0033600000BZ63EAAT,00636000005ecshAAA,
0033600000q4AGNAA2,00636000005elT6AAI,
00336000009lzv6AAA,00636000005elTQAAY,
0033600000Ba6YuAAJ,00636000005eswZAAQ,
0033600000BaGLPAA3,00636000005ezWaAAI,
0033600000AS4tQAAT,00636000005f86UAAQ,
0033600000Ba6WtAAJ,00636000006c5NLAAY,
0033600000CCBT2AAP,00636000006c5SyAAI,
0033600000q4ACaAAM,00636000006cCDJAA2,
0033600000CCe4uAAD,00636000006cCDdAAM,
0033600000ojWdVAAU,00636000006cCDnAAM,
0033600000Ar57qAAB,00636000006cCEgAAM,
0033600000Ar57sAAB,00636000006cCGcAAM,
0033600000CCefXAAT,00636000006cCGhAAM,
0033600000AS4sgAAD,00636000006cG60AAE,
0033600000AS4raAAD,00636000006cG6PAAU,
0033600000AS4lLAAT,00636000006cG6yAAE,
0033600000iwzgJAAQ,00636000006cG7SAAU,
0033600000AS4sEAAT,00636000006cP2xAAE,
0033600000AS4njAAD,00636000006cTPwAAM,
0033600000AS4oAAAT,00636000006cYyWAAU,
0033600000AS4nJAAT,00636000006ckqWAAQ,
0033600000CvJvMAAV,00636000006cmSRAAY,
0033600000CvK5oAAF,00636000006cmTjAAI,
00336000005sWzMAAU,00636000006cme6AAA,
0033600000B0grqAAB,00636000006cvyzAAA,
0033600000q4ATRAA2,00636000006cwoFAAQ,
0033600000DRBjOAAX,00636000006cwydAAA,
0033600000q4ALIAA2,00636000006cx4cAAA,
0033600000DRJMoAAP,00636000006d98zAAA,
0033600000q4A89AAE,00636000006dADrAAM,
0033600000DRLGtAAP,00636000006dBHmAAM,
